,position,title,snippet,highlighs,link,displayed_link
26,26,Daily Crypto Trading (@DailyCryptoTrad) ...,"GIVEAWAY TIME! Unlock 5 days of full access to my exclusive DCT crypto tools, including the Liquidity Heatmap, Liquidation Heatmap, RSI ...",['crypto'],https://twitter.com/DailyCryptoTrad,https://twitter.com › DailyCryptoTrad
27,27,Crypto Chase (@Crypto_Chase) / X,"Crypto Chase's posts ... Analysis paralysis? Reduce position size & trade more. Fear? Reduce position size & trade more. Often right, but often close early?",['Crypto'],https://twitter.com/Crypto_Chase,https://twitter.com › Crypto_Chase
28,28,Crypto Council for Innovation (@crypto_council) / ...,"1/ OFAC just issued a significant sanctions package against Russian crypto and fintech entities, focusing on individuals and companies involved in crypto ...","['crypto', 'crypto']",https://twitter.com/crypto_council,https://twitter.com › crypto_council
29,29,Aditya Singh (@CryptooAdy) / X,Question to Indian Exchanges regarding crypto withdrawals. Statement from the exchange founders on the same - will be really helpful.,['crypto'],https://twitter.com/CryptooAdy,https://twitter.com › CryptooAdy
30,30,Crypto Fundraising #StandWithUkraine,Recent crypto fundraising rounds. Telegram: https://t.co/uYg24KoeRT.,['crypto'],https://twitter.com/Crypto_Dealflow,https://twitter.com › Crypto_Dealflow
31,31,Crypto Unicorns (@crypto_unicorns) / X,"We've live operated an open economy game for nearly 2 years. But we're not done yet. This is everything Crypto Unicorns, and everything it is yet to be.",['Crypto'],https://twitter.com/crypto_unicorns,https://twitter.com › crypto_unicorns
32,32,Crypto India (@CryptooIndia) / X,Investors put capital into Crypto or Gold as a counter hedge for governments who misbehave and are irresponsible. Uday Kotak - Founder of India's third ...,['Crypto'],https://twitter.com/CryptooIndia,https://twitter.com › CryptooIndia
33,33,Exodus - Crypto Wallet (@exodus_io) / ...,"Exit TradFi with Exodus, a #SelfCustody crypto wallet. Download Exodus to secure your #crypto now! POSTS AREN'T SUITABLE FOR UK USERS.","['crypto', 'crypto']",https://twitter.com/exodus_io,https://twitter.com › exodus_io
34,34,Crypto Chiefpriest ⚡ (@CryptoCPriest) / X,Crypto Chiefpriest ⚡'s posts ... Last bull run I did #1000x and I only spent a couple hours a week researching. This bull run I'm spending many hours a day ...,['Crypto'],https://twitter.com/CryptoCPriest,https://twitter.com › CryptoCPriest
35,35,Jump Crypto 🔥💃🏻 (@jump_) / X,"Jump Crypto. @jump_. We're builders, partners, and ... 1/ Scalability is a key factor in the crypto space, with the modular approach gaining popularity.","['Crypto', 'crypto']",https://twitter.com/jump_,https://twitter.com › jump_
36,36,The Crypto App (@TheCryptoApp) ...,Your complete crypto toolset • Wallet • Tracker • Portfolio • Alerts • Widgets • News + More • 4.7M+ downloads and growing!,['crypto'],https://twitter.com/TheCryptoApp,https://twitter.com › TheCryptoApp
37,37,Daan Crypto Trades (@DaanCrypto) ...,Fulltime Crypto Trader & Investor | Tweets are not financial advice | TG: https://t.co/1kbnAB4Jjj | YT: https://t.co/9mWXVagLLk | Group: ...,['Crypto'],https://twitter.com/DaanCrypto,https://twitter.com › DaanCrypto
38,38,Crypto.com NFT (@cryptocomnft) / X,Crypto.com NFT's posts ; 24. 22. 63 ; 128. 71. 223 ; 126. 104. 164 ; 4. 6. 29 ; 4. 30.,['Crypto'],https://twitter.com/cryptocomnft,https://twitter.com › cryptocomnft
39,39,Crypto General 🦄 (@DaCryptoGeneral) / ...,Crypto General 's posts ... goes live on March 27 at 12 PM EST! Im super hyped about this revolutionary social gaming platform backed by major Web3 venture ...,['Crypto'],https://twitter.com/DaCryptoGeneral,https://twitter.com › DaCryptoGeneral
40,40,Republic Crypto (@RepublicCrypto) ...,Republic Crypto is accelerating the growth of web3 by supporting its most ambitious builders and investors.,['Crypto'],https://twitter.com/RepublicCrypto,https://twitter.com › RepublicCrypto
41,41,Wendy O (@CryptoWendyO) / X,YouTube Shock Jock @The_O_Show_ | TikTok | Bitcoin Crypto | @Squid_Grow | @DCTAorg | Consulting | CryptoWendyO@protonmail.com | https://t.co/M3bAHwIMmU.,['Crypto'],https://twitter.com/CryptoWendyO,https://twitter.com › CryptoWendyO
42,42,Girl Gone Crypto (@girlgone_crypto) / X,"The Crypto Minute ⏰ | #Bitcoin | Never financial advice, just dad jokes | Featured in Bloomberg, The Times, Vice, Time Magazine, NY Post, ELLE, ...",['Crypto'],https://twitter.com/girlgone_crypto,https://twitter.com › girlgone_crypto
43,43,Crypto University (@TheCryptoU) / X,"Home for learning Crypto, NFTs, Blockchain, Metaverse, Web3 & more. Over 15k students trained. Grab our free Crypto course https://t.co/Vh8hm8NcN4.","['Crypto', 'Crypto']",https://twitter.com/TheCryptoU,https://twitter.com › TheCryptoU
44,44,Crypto.com Arena (@cryptocomarena) / X,rocked the house at http://Crypto.com Arena? Best. Night. Ever. Now the band is nominated for TWO CMT Awards! Send in up to 10 votes per category every day ...,['Crypto'],https://twitter.com/cryptocomarena,https://twitter.com › cryptocomarena
45,45,Crypto.com (@cryptocom) / X,"The best place to buy, sell, and pay with crypto #BTC #CRO #DeFi #FFTB. ... Crypto.com Visa Card rewards ✓ Up to 4x referral booster ✓ Trading rebates ...","['crypto', 'Crypto']",https://mobile.twitter.com/cryptocom?lang=pl,https://mobile.twitter.com › cryptocom
46,46,Crypto Oasis (@CryptoOasisUAE) ...,"Focused on the Middle East, the Crypto Oasis aims to be the world's leading blockchain ecosystem in terms of size and innovation.",['Crypto'],https://twitter.com/CryptoOasisUAE,https://twitter.com › CryptoOasisUAE
47,47,Cryptonews.com,"The Hong Kong SFC issued a warning about HKCEXP, an allegedly suspicious crypto exchange and trading platform. ... In crypto news today: - Why is crypto up today?","['crypto', 'crypto', 'crypto']",https://twitter.com/cryptonews,https://twitter.com › cryptonews
48,48,Alchemy Pay|$ACH: Fiat-Crypto Payment Gateway,Alchemy Pay $ACH bridges fiat and crypto global economies through its real-world payment network and direct access to Web3 services via its Ramp Solution.,['crypto'],https://twitter.com/AlchemyPay,https://twitter.com › AlchemyPay
49,49,Crypto Rand (@crypto_rand) / X,Crypto Rand's posts ; Feb 7 · 190. 89. 254. 73K ; 1h · 25. 34. 128. 20K ; 3h · 74. 28. 150. 21K.,['Crypto'],https://twitter.com/crypto_rand,https://twitter.com › crypto_rand
50,50,The Crypto Network (@raffayalvi) / X,Crypto Educational Creator #BITCOIN 860K+ TikTok. What I'm buying and selling.,['Crypto'],https://twitter.com/raffayalvi,https://twitter.com › raffayalvi
51,51,a16z crypto (@a16zcrypto) / X,"Our Crypto Startup Accelerator (CSX) program provides expert guidance, capital, and resources for founders of early-stage crypto startups. More details about ...","['Crypto', 'crypto']",https://twitter.com/a16zcrypto,https://twitter.com › a16zcrypto
52,52,Reese Witherspoon,"Crypto is here to stay. I'm committed to supporting creators who have pioneered the NFT space, and encouraging more women to be a part of ...",['Crypto'],https://twitter.com/ReeseW/status/1467967292927463427,https://twitter.com › ReeseW › status
53,53,Katie Porter,Californians aren't fooled: Shadowy crypto billionaires don't want a strong voice for consumers in the Senate. They fear people who call out ...,['crypto'],https://twitter.com/katieporteroc/status/1757445157488837069,https://twitter.com › katieporteroc › status
54,54,Chetan Bhagat,"Hi all, “Crypto is now dead: FTX, a cryptocurrency exchange, collapsed last week, proving a lot of cool guys horribly wrong,” my column in ...",['Crypto'],https://twitter.com/chetan_bhagat/status/1592381582144593922,https://twitter.com › chetan_bhagat › status
55,55,Crypto.com Institutional (@Cryptocom_Insto) / ...,Trade with confidence on the world's fastest and most secure crypto exchange #CRO #CROfam.,['crypto'],https://twitter.com/Cryptocom_Insto,https://twitter.com › Cryptocom_Insto
56,56,Crypto Trends (@CryptoTrends) / X,Bringing you the latest trends in #crypto.,['crypto'],https://twitter.com/CryptoTrends,https://twitter.com › CryptoTrends
57,57,The Crypto Times (@CryptoTimes_io) / X,"Your window into the world of #Crypto, #NFTs, and #Web3. Join our crypto community! Find us: https://t.co/gaZlqe57Zi.","['Crypto', 'crypto']",https://twitter.com/CryptoTimes_io,https://twitter.com › CryptoTimes_io
58,58,Learn Crypto (@Learncrypto_com) / X,We'll be discussing: - Understanding Crypto Presales - Risks and Rewards - Navigating Volatile Markets - Regulatory Landscape and Compliance… Show more.,['Crypto'],https://twitter.com/Learncrypto_com,https://twitter.com › Learncrypto_com
59,59,"""Fact 1: Crypto exchanges like @coinbase have to register ...",Fact 1: Crypto exchanges like @coinbase have to register with @USTreasury under the Bank Secrecy Act and follow the same standards as banks.,['Crypto'],https://twitter.com/faryarshirzad/status/1762830626997109016,https://twitter.com › faryarshirzad › status
60,60,Marques Brownlee - The crypto grift goes like this,"The crypto grift goes like this: youtube.com. Crypto: The World's Greatest Scam. Bitcoin to Blockchains, to NFTs, to Web 3.0... it's time to ...","['crypto', 'Crypto']",https://twitter.com/MKBHD/status/1610361850926960645,https://twitter.com › MKBHD › status
61,61,Crypto.com Customer Support (@cryptocomcs) / X,Support Account. Contact us via your http://Crypto.com App or DM. crypto.com Joined May 2020. 29 Following · 86.2K Followers.,"['Crypto', 'crypto']",https://twitter.com/cryptocomcs,https://twitter.com › cryptocomcs
62,62,Randi Hipper (@missteencrypto) / X,Good morning Crypto X! Spend time with fam and frens ☕ #BTC #HappySunday. 90. 18 ... Crypto investors MUST watch! 2. 29. 59.,"['Crypto', 'Crypto']",https://twitter.com/missteencrypto,https://twitter.com › missteencrypto
63,63,Santiment (@santimentfeed) / X,Santiment is a market intelligence platform with on-chain & social metrics for 2500+ cryptocurrencies. See what others in crypto can't!,['crypto'],https://twitter.com/santimentfeed,https://twitter.com › santimentfeed
64,64,Messari (@MessariCrypto) / X,Messari is the leading provider of crypto market intelligence products that help professionals navigate crypto with confidence.,"['crypto', 'crypto']",https://twitter.com/MessariCrypto,https://twitter.com › MessariCrypto
65,65,Crypto Tutors (@thecryptotutors) / ...,"Crypto Tutors is going on a Bitcoin Financial Empowerment Tour in ATL, Oakland, and St. Louis. We're providing free BTC education and Pizza for people with ...",['Crypto'],https://twitter.com/thecryptotutors,https://twitter.com › thecryptotutors
66,66,Keyur Rohit (@CryptoKingKeyur) / X,Bitcoin Believer | #Crypto Influencer | Computer Scientist | YouTuber | NITian https://t.co/1FGRIExRWx.,['Crypto'],https://twitter.com/CryptoKingKeyur,https://twitter.com › CryptoKingKeyur
67,67,Crypto Town Hall (@Crypto_TownHall) / ...,"Your town hall for the biggest guests, breaking news and discussions in crypto. Live everyday! Hosted by @marionawfal @scottmelker @cryptomanran.",['crypto'],https://twitter.com/Crypto_TownHall,https://twitter.com › Crypto_TownHall
68,68,Crypto Current (@_cryptocurrent_) / X,"Your Crypto Senseis, tweeting about what you need to know to be an informed investor in Web3 | Hosted by @RichardCarthon.",['Crypto'],https://twitter.com/_cryptocurrent_,https://twitter.com › _cryptocurrent_
69,69,Frontier Wallet (@FrontierDotXYZ) ...,"The Unified non-custodial wallet to Store, Stake, Swap, Bridge Crypto & NFTs. Interact with DeFi apps, 35+ Blockchains & ecosystems.",['Crypto'],https://twitter.com/FrontierDotXYZ,https://twitter.com › FrontierDotXYZ
70,70,Hedera,"... applications… According to the article below, “It's taken years for BlackRock to start working with Ethereum — and crypto ruined it within… Show more. 10. 47.",['crypto'],https://twitter.com/hedera,https://twitter.com › hedera
71,71,Gwyneth Paltrow,"Buying crypto has often felt exclusionary. In order to democratize who can participate, @CashApp is now making it easy to gift Bitcoin.",['crypto'],https://twitter.com/GwynethPaltrow/status/1472975764446396420,https://twitter.com › GwynethPaltrow › status
72,72,Binance,Behind every smooth crypto journey on #Binance lies the unsung heroes of Customer Service. ... Join now by buying crypto with #Binance's Buy Crypto feature. More ...,"['crypto', 'crypto', 'Crypto']",https://twitter.com/binance,https://twitter.com › binance
73,73,Joe David - The Crypto Specialist (@crypjo091) / X,Specialised crypto accountant | Founder of @nephosuk & leading UK crypto accounting firm @mynaaccountants | Nephology.,"['crypto', 'crypto']",https://twitter.com/crypjo091,https://twitter.com › crypjo091
74,74,Ash Crypto (@Ashcryptoreal) / X,Crypto trader since 2014. Nothing i Tweet is a financial advice. My one and only official telegram https://t.co/6iHJbN25gz.,['Crypto'],https://twitter.com/Ashcryptoreal,https://twitter.com › Ashcryptoreal
75,75,Jason Appleton (Crypto Crow),Bitcoin is king but #altcoins are key. #Cardano #Ethereum #COPI #WMT #IAG - 7ft #crypto Educator on Youtube since 2017. https://t.co/DbW3XFkXgh.,['crypto'],https://twitter.com/jasonappleton,https://twitter.com › jasonappleton
76,76,MASON VERSLUIS (@MasonVersluis) ...,"Founder, Creator, Investor - Trading @paytienceio + Crypto Alpha @goldsquad777 + Podcast @thegoldpod + Spiritual @theknowing17.",['Crypto'],https://twitter.com/MasonVersluis,https://twitter.com › MasonVersluis
77,77,Lee Reiners (@leereiners) / X,and I speculate on Satoshi's true identity (it's not Craig Wright) before discussing Binance's problems in Nigeria and the potential for more crypto-linked ...,['crypto'],https://twitter.com/leereiners,https://twitter.com › leereiners
78,78,K A L E O (@CryptoKaleo) / X,"""καλέω: to call"" | #Bitcoin | Crypto | Options | Engineer | Do Your Own Research | Not Financial Advice | This is My Journal. ( Co-Founder - @LedgArt_io )",['Crypto'],https://twitter.com/CryptoKaleo,https://twitter.com › CryptoKaleo
79,79,Bomb Crypto (@BombCryptoGame) / X,Attention Bomb Crypto Community! Only 5 days left until the game reopens! We're on the edge of excitement!,['Crypto'],https://twitter.com/BombCryptoGame,https://twitter.com › BombCryptoGame
80,80,Titan of Crypto (@Washigorira) / X,"#Bitcoin #Crypto With rapid growth in price comes inevitable corrections. These pullbacks serve as necessary market adjustments, shaking out weak hands and ...",['Crypto'],https://twitter.com/Washigorira,https://twitter.com › Washigorira
81,81,Crypto ₿ethany (@CryptoBethany) / ...,Crypto ₿ethany's posts ... I've been tweeting about $JASMY since deep in the bear the market. It's now up roughly 400% since I tweeted this a few months ago.,['Crypto'],https://twitter.com/CryptoBethany,https://twitter.com › CryptoBethany
82,82,Tony Edward (Thinking Crypto Podcast),1/ Yesterday was a prime example of why crypto Twitter (and often crypto media) should not be trusted when it comes to crypto policy. Let's debunk claims ...,"['crypto', 'crypto', 'crypto']",https://twitter.com/ThinkingCrypto1,https://twitter.com › ThinkingCrypto1
83,83,Ben McKenzie (@ben_mckenzie) ...,"THE REAL SHILLS OF THE CRYPTO UNIVERSE In today's Odd Lots newsletter, I wrote about how it's not the ""laser eyes"" or "".ETHs"" or the ""Joe McCann's"" of the ...",['CRYPTO'],https://twitter.com/ben_mckenzie,https://twitter.com › ben_mckenzie
84,84,Travladd Crypto (@OfficialTravlad) / X,Travladd Crypto · @OfficialTravlad. ·. 9h. Going to give away $500 to one of the crypto notification gang. What crypto should I do it in? $BRETT? $KAS? $DOGE?,"['Crypto', 'crypto', 'crypto']",https://twitter.com/OfficialTravlad,https://twitter.com › OfficialTravlad
85,85,Bitgert - $BRISE (@bitgertbrise) / X,"Bitgert is a rapidly expanding crypto project that boasts a gas fee-free blockchain, CEX and a lot more!",['crypto'],https://twitter.com/bitgertbrise,https://twitter.com › bitgertbrise
86,86,Pepe (@pepecoineth) / X,"... crypto.com app is the easiest and cheapest place to purchase $PEPE ... We're giving out US$500,000 of PEPE to new joiners Until Apr 10 T&Cs apply Learn ...",['crypto'],https://twitter.com/pepecoineth,https://twitter.com › pepecoineth
87,87,Coach K Crypto (@Coachkcrypto) ...,"EQIFI CSO, Crypto Advisor, Trader and Investor. Founder of the Coach K Experience.",['Crypto'],https://twitter.com/Coachkcrypto,https://twitter.com › Coachkcrypto
88,88,Bloomberg Crypto,Goldman Sachs says clients such as hedge funds are showing renewed interest in crypto options trading this year amid the digital-asset ...,['crypto'],https://twitter.com/crypto/status/1772468562264822083,https://twitter.com › crypto › status
89,89,Andrew Crypto (@MrTastycalls) / X,"Andrew Crypto's posts ... , I'm giving away a MACBOOK AIR (2023)!!! 1) Sign up for Bybit using http://partner.bybit.com/b/mrtastycalls 2) Deposit min $100 usdt 3) ...","[""Crypto's""]",https://twitter.com/MrTastycalls,https://twitter.com › MrTastycalls
90,90,Ledger,"The Ledger Nano X is now compatible with the MetaMask mobile app, meaning you can import your Ledger accounts to MetaMask & navigate the crypto space on the go.",['crypto'],https://twitter.com/Ledger,https://twitter.com › Ledger
91,91,Orange 🟠💊 (@OrangeCryptoHQ) / X,"25/03 Market Recap: Crypto Rebounds, ICP and ONDO Shine Bitcoin comes back, going past $69,000, its first significant rise in days. On a daily scale, SOL, ...",['Crypto'],https://twitter.com/OrangeCryptoHQ,https://twitter.com › OrangeCryptoHQ
92,92,Metal Pay (@metalpaysme) / X,The Easiest Way To Get Crypto! 24/7 Human Support • Buy with Debit/Credit Card • Industry Leading Fees.,['Crypto'],https://twitter.com/metalpaysme,https://twitter.com › metalpaysme
93,93,Chico Crypto (OFFICIAL CHICO CRYPTO),"Crypto Analyst, Investor, Investment Broker ,guide, youtuber and NFT promoters,ROI AGENCY . #Bitcoin #Ethereum #NFT #Crypto.","['Crypto', 'Crypto']",https://twitter.com/Chico_Crypto_,https://twitter.com › Chico_Crypto_
94,94,Crypto 306 (@Crypto_306) / X,"Crypto 306 is a global B2B/B2C crypto event, uniting 200+ attendee companies, 50+ speakers & 60+ sponsors in 2 days of networking Istanbul - August.","['Crypto', 'crypto']",https://twitter.com/Crypto_306,https://twitter.com › Crypto_306
95,95,Crypto Insights (@CryptoInsightsX) ...,Crypto Insights's posts ; 203. 302. 628 ; 78. 243. 269 ; 31. 35. 53 ; 3. 1. 4 ; 359. 337. 751.,['Crypto'],https://twitter.com/CryptoInsightsX,https://twitter.com › CryptoInsightsX
96,96,Opera Crypto (@Opera_Crypto) / X,Check out the @Opera_Crypto Browser! Watch our review ⤵️ #crypto #opera ...,['crypto'],https://twitter.com/Opera_Crypto,https://twitter.com › Opera_Crypto
97,97,Bain Capital Crypto (@BainCapCrypto) / X,Bain Capital Crypto backs renegades and pioneers building the next generation of open internet infrastructure.,['Crypto'],https://twitter.com/BainCapCrypto,https://twitter.com › BainCapCrypto
98,98,Easy Crypto (@easycrypto) / X,It's tax time but how does that impact your crypto? Don't worry we've got your back - Janine's latest blog gives you a great overview of preparing for the ...,['crypto'],https://twitter.com/easycrypto,https://twitter.com › easycrypto
